German,Polish
werden,"stać się, zostać"
können,"móc, umieć, potrafić"
lassen,"kazać, zostawiać, pozwalać, kazać sobie coś zrobić"
meinen,"myśleć, sądzić, uważać"
gelten,"być ważnym, obowiązywać"
folgen,"iść za kimś, następować"
erklären,"wyjaśniać, tłumaczyć coś komuś"
entsprechen,"być zgodnym z czymś, odpowiadać czemuś"
scheinen,"świecić, wydawać się"
handeln,"handlować, targować się"
erreichen,"osiągać, docierać"
schaffen,"dawać radę, tworzyć"
dar|stellen,"obrazować, przedstawiać"
entwickeln,"rozwijać, wynajdować"
bilden,"budować, tworzyć, kształcić"
erinnern,przypominać coś sobie
ergeben,wynikać z czegoś
an|sehen,"spoglądać, patrzeć, oglądać"
fehlen,"brakować, być nieobecnym"
