German,Polish
sein,być
haben,mieć
werden,"stać się, zostać"
können,"móc, umieć, potrafić"
müssen,musieć
sagen,"mówić, powiedzieć"
machen,robić
geben,dawać
kommen,"przychodzić, pochodzić"
sollen,mieć powinność
wollen,chcieć
gehen,iść
wissen,wiedzieć
sehen,widzieć
lassen,"kazać, zostawiać, pozwalać, kazać sobie coś zrobić"
stehen,stać
finden,znajdować
bleiben,"zostać, pozostać"
liegen,leżeć
heißen,nazywać się
denken,myśleć
nehmen,brać
tun,"robić, czynić"
dürfen,mieć pozwolenie
glauben,"wierzyć, sądzić"
halten,"trzymać, zatrzymywać"
nennen,nazywać
mögen,lubić
zeigen,pokazywać
führen,prowadzić
sprechen,"mówić, rozmawiać"
bringen,przynosić
leben,"żyć, mieszkać"
fahren,"jechać, prowadzić"
meinen,"myśleć, sądzić, uważać"
fragen,pytać
kennen,znać
gelten,"być ważnym, obowiązywać"
stellen,stawiać
spielen,"grać, bawić się"
arbeiten,pracować
brauchen,potrzebować
folgen,"iść za kimś, następować"
lernen,uczyć się
bestehen,"zdawać, istnieć"
verstehen,rozumieć
setzen,sadzać
bekommen,otrzymywać
beginnen,zaczynać
erzählen,opowiadać
versuchen,próbować
schreiben,pisać
laufen,"biec, biegać"
erklären,"wyjaśniać, tłumaczyć coś komuś"
entsprechen,"być zgodnym z czymś, odpowiadać czemuś"
sitzen,siedzieć
ziehen,ciągnąć
scheinen,"świecić, wydawać się"
fallen,upadać
gehören,należeć
entstehen,powstawać
erhalten,otrzymywać
treffen,spotykać
suchen,szukać
legen,kłaść
vor|stellen,przedstawiać
handeln,"handlować, targować się"
erreichen,"osiągać, docierać"
tragen,nosić
schaffen,"dawać radę, tworzyć"
lesen,czytać
verlieren,"tracić, gubić"
dar|stellen,"obrazować, przedstawiać"
erkennen,rozpoznawać
entwickeln,"rozwijać, wynajdować"
reden,"mówić, rozmawiać"
aus|sehen,wyglądać
erscheinen,ukazywać się
bilden,"budować, tworzyć, kształcić"
an|fangen,zaczynać
erwarten,oczekiwać
wohnen,mieszkać
betreffen,dotyczyć
warten,czekać
vergehen,"mijać, upływać"
helfen,pomagać
gewinnen,wygrywać
schließen,zamykać
fühlen,czuć
bieten,oferować
interessieren,interesować
erinnern,przypominać coś sobie
ergeben,wynikać z czegoś
an|bieten,oferować
studieren,studiować
verbinden,łączyć
an|sehen,"spoglądać, patrzeć, oglądać"
fehlen,"brakować, być nieobecnym"
bedeuten,znaczyć
vergleichen,porównywać
